id,title,serving,post_hit,created_at,updated_at,cate1,cate2,cate3,user_id
137,닭봉을 이용한 일본식 닭봉 조림,2,0,2023-03-11 00:00:00.000001,2023-03-11 00:00:00.000001,일식,원팬/스피디,닭고기,1
138,부들부들한 초간단 일본식 푸딩 계란찜 레시피,1,0,2023-03-21 00:00:00.000001,2023-03-21 00:00:00.000001,일식,술안주,달걀/유제품,1
139,"평소에 먹던 카레와는 완전히 다른 맛의 일본식 드라이카레, 키마카레 레시피",1,0,2023-04-25 00:00:00.000001,2023-04-25 00:00:00.000001,일식,일상,돼지고기,1
142,사리곰탕 라면으로 만드는 초간단 돈코츠라멘 레시피,1,0,2023-08-13 00:00:00.000001,2023-08-13 00:00:00.000001,일식,원팬/스피디,면,1
143,"닭다리살로 만드는 데리야끼 닭꼬치 레시피, 데리야끼 소스 만드는 방법",1,0,2022-06-18 00:00:00.000001,2022-06-18 00:00:00.000001,일식,술안주,닭고기,1
144,"꼭 한 번은 먹어봐야 할 쫀득쫀득한 일본 디저트, 미타라시 당고 레시피",1,0,2023-05-24 00:00:00.000001,2023-05-24 00:00:00.000001,일식,디저트,쌀,1
180,이렇게 먹으면 굴이 아니라 보약입니다. 굴오일절임 레시피,4,0,2023-11-27 00:00:00.000001,2023-11-27 00:00:00.000001,양식,원팬/스피디,해물,1
181,간단하지만 양식 전문점에서 파는 것 같은 파스타 만드는 방법 투움바 파스타 레시피,1,0,2023-03-05 00:00:00.000001,2023-03-05 00:00:00.000001,양식,일상,밀가루,1
182,사과로 만들어서 상큼하고 달달한 사과크림소스 레시피 (feat.목살 스테이크),2,0,2023-12-01 00:00:00.000001,2023-12-01 00:00:00.000001,양식,모임용,돼지고기,1
183,남은 식빵으로 만드는 고르곤졸라,1,0,2023-11-10 00:00:00.000001,2023-11-10 00:00:00.000001,양식,디저트,밀가루,1
184,카라멜 식빵 팝콘,2,0,2023-11-10 00:00:00.000001,2023-11-10 00:00:00.000001,양식,디저트,밀가루,1
185,"몇 년 전 유행을 휩쓸었던 허니브래드 집에서 만드는 방법, 허니브래드 레시피",1,0,2023-07-02 00:00:00.000001,2023-07-02 00:00:00.000001,양식,디저트,밀가루,1
186,"집에서 고급스럽게 즐기는 스테이크 레시피, 갈릭바질버터 레시피",1,0,2023-03-16 00:00:00.000001,2023-03-16 00:00:00.000001,양식,원팬/스피디,소고기,1
187,"딱 6가지 재료로 집에서 간단하게 치즈케이크 만드는 방법, 바스크 치즈케이크 레시피",2,0,2023-01-04 00:00:00.000001,2023-01-04 00:00:00.000001,양식,디저트,달걀/유제품,1
188,"그냥 프렌치토스트에 바삭함을 추가한 시리얼토스트 만드는 방법, 시리얼 프랜치 토스트 레시피",2,0,2022-11-08 00:00:00.000001,2022-11-08 00:00:00.000001,양식,디저트,달걀/유제품,1
189,샐러드보다 훨씬 더 맛있는 다이어트 포케 레시피,2,0,2023-11-02 00:00:00.000001,2023-11-02 00:00:00.000001,양식,다이어트,채소,1
13,초간단 밥도둑 반찬! '깻잎스팸전'황금 레시피,2,0,2019-04-02 00:00:00.000001,2019-04-02 00:00:00.000001,한식,일상,가공식품류,13
14,바쁜 아침 5분 뚝딱 !맛보장 '참치계란간장밥'레시피,1,0,2018-08-22 00:00:00.000001,2018-08-22 00:00:00.000001,한식,원팬/스피디,쌀,13
56,맥주와 환상궁합! 백종원 칠리새우 쉽게 만들기,2,0,2018-08-29 00:00:00.000001,2018-08-29 00:00:00.000001,기타,술안주,해물,13
16,연두부 샐러드,4,0,2016-01-28 00:00:00.000001,2016-01-28 00:00:00.000001,한식,다이어트,채소,77
17,잔치국수 : Janchi Guksu (Korean Noodle Soup) | Honeykki 꿀키,2,0,2017-08-16 00:00:00.000001,2017-08-16 00:00:00.000001,한식,일상,면,7
20,더운 여름을 위한 간단 물회 : Mulhoe (Korean Cold Raw Fish Soup) | Honeykki 꿀키,1,0,2017-07-13 00:00:00.000001,2017-07-13 00:00:00.000001,한식,일상,해물,7
21,전자레인지로 잡채만들기: Microwave japchae (Glass noodles stir-fried with vegetables) | Honeykki 꿀키,1,0,2016-11-01 00:00:00.000001,2016-11-01 00:00:00.000001,한식,원팬/스피디,면,7
